author,quote,quote_words,quote_compound,quote_positive,quote_negative,tags,tags_words
Gustave Flaubert,"Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.",read children amuse like ambitious purpose instruction read order live,0.8074,0.542,0.0,"['books', 'inspirational', 'life', 'reading']","books,inspirational,life,reading"
John Green,"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.",Imagining future kind nostalgia () spend whole life stuck labyrinth thinking escape one day awesome imagining future keeps going never use future escape present,0.836,0.342,0.063,['inspirational'],inspirational
Ralph Waldo Emerson,What lies behind us and what lies before us are tiny matters compared to what lies within us.,lies behind us lies us tiny matters compared lies within us,-0.8074,0.067,0.509,['inspirational'],inspirational
Sam Levenson,"For attractive lips, speak words of kindness",attractive lips speak words kindness,0.7096,0.663,0.0,"['beauty', 'charity', 'inspirational', 'kindness']","beauty,charity,inspirational,kindness"
Christian D. Larson,Promise Yoursel,Promise Yoursel,0.3182,0.697,0.0,"['happiness', 'inspirational', 'love', 'optimism', 'strength']","happiness,inspirational,love,optimism,strength"
C.S. Lewis,"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.",Friendship unnecessary like philosophy like art survival value rather one things give value survival,0.8934,0.585,0.0,"['friendship', 'inspirational']","friendship,inspirational"
Abraham Lincoln,"Whatever you are, be a good one.",Whatever good one,0.4404,0.592,0.0,['inspirational'],inspirational
F. Scott Fitzgerald,"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.",hope she'll fool  that's best thing girl world beautiful little fool,0.7351,0.482,0.254,"['inspirational', 'women']","inspirational,women"
Thomas Szasz,"Two wrongs don't make a right, but they make a good excuse.",Two wrongs make right make good excuse,0.4939,0.457,0.0,"['humor', 'inspirational']","humor,inspirational"
Nicholas Klein,First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.,First ignore ridicule attack want burn build monuments,-0.8074,0.094,0.619,"['conflict', 'fighting', 'inspirational', 'trial']","conflict,fighting,inspirational,trial"
Jonathan Swift,May you live every day of your life.,May live every day life,0.0,0.0,0.0,"['inspirational', 'life', 'philosophy', 'wisdom']","inspirational,life,philosophy,wisdom"
Robert Fulghum,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,believe imagination stronger knowledge myth potent history dreams powerful facts hope always triumphs experience laughter cure grief believe love stronger death,0.9423,0.57,0.169,"['hope', 'imagination', 'inspirational']","hope,imagination,inspirational"
George Orwell,Who controls the past controls the future. Who controls the present controls the past.,controls past controls future controls present controls past,0.0,0.0,0.0,['inspirational'],inspirational
A.A. Milne,You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.,can't stay corner Forest waiting others come go sometimes,0.0,0.0,0.0,"['friendship', 'inspirational', 'pooh', 'winnie']","friendship,inspirational,pooh,winnie"
L.M. Montgomery,Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?,nice think tomorrow new day mistakes yet,0.0772,0.272,0.243,"['beginnings', 'fresh-start', 'inspirational', 'mistake', 'mistakes', 'new-day', 'start-over', 'tomorrow']","beginnings,fresh-start,inspirational,mistake,mistakes,new-day,start-over,tomorrow"
Rick Riordan,"If my life is going to mean anything, I have to live it myself.",life going mean anything live,0.0,0.0,0.0,"['inspirational', 'life', 'meaning']","inspirational,life,meaning"
C. Joybell C.,"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.",talk someone years everyday still mean much sit front someone saying word yet feel person heart feel like known person forever connections made heart tongue,0.3612,0.094,0.0,"['affection', 'communication', 'heartwarming', 'human-connections', 'human-nature', 'humanism', 'humanity', 'inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-quotes', 'relationships']","affection,communication,heartwarming,human-connections,human-nature,humanism,humanity,inspirational,inspirational-life,inspirational-love,inspirational-quotes,relationships"
Emily Dickinson,Hope is the thing with feather,Hope thing feather,0.4404,0.592,0.0,"['feathers', 'hope', 'inspirational', 'souls']","feathers,hope,inspirational,souls"
Haruki Murakami,"And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.",storm won’t remember made managed survive won’t even sure whether storm really one thing certain come storm won’t person walked That’s storm’s,0.5667,0.189,0.0,"['adversity', 'inspirational', 'life-lessons', 'problems', 'trials']","adversity,inspirational,life-lessons,problems,trials"
John Lennon,"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",5 years old mother always told happiness key life went school asked wanted grew wrote ‘happy’ told didn’t understand assignment told didn’t understand life,0.5574,0.141,0.0,"['inspirational', 'life']","inspirational,life"
Ralph Waldo Emerson,Always do what you are afraid to do.,Always afraid,0.0,0.0,0.0,['inspirational'],inspirational
Haruki Murakami,Pain is inevitable. Suffering is optional.,Pain inevitable Suffering optional,-0.7506,0.0,0.762,"['inspirational', 'running']","inspirational,running"
Martin Luther King Jr.,Our lives begin to end the day we become silent about things that matter.,lives begin end day become silent things matter,0.0258,0.136,0.0,['inspirational'],inspirational
Chad Sugg,If you're reading this..,reading,0.0,0.0,0.0,"['alive', 'congratulations', 'hope', 'humanity', 'inspiration', 'inspirational', 'inspire', 'life', 'poetry', 'smile', 'wisdom']","alive,congratulations,hope,humanity,inspiration,inspirational,inspire,life,poetry,smile,wisdom"
Alexandre Dumas,"There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life",neither happiness misery world comparison one state another nothing felt deepest grief best able experience supreme happiness must felt die Morrel may appreciate enjoyments life,0.8548,0.426,0.217,"['hope', 'inspirational', 'wisdom']","hope,inspirational,wisdom"
Martin Luther King Jr.,"In the end, we will remember not the words of our enemies, but the silence of our friends.",end remember words enemies silence friends,-0.0258,0.301,0.311,['inspirational'],inspirational
Ayn Rand,"Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.",let fire go spark irreplaceable spark hopeless swamps notquite notyet notatall let hero soul perish lonely frustration life deserved never able reach world desire exists real possible,-0.2439,0.251,0.301,"['inspirational', 'life']","inspirational,life"
Arthur Schopenhauer,Talent hits a target no one else can hit. Genius hits a target no one else can see.,Talent hits target one else hit Genius hits target one else see,0.4215,0.203,0.0,"['inspirational', 'talent']","inspirational,talent"
John Green,It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.,hard leave—until leave easiest goddamned thing world,-0.1531,0.25,0.482,"['inertia', 'inspirational', 'leaving', 'nerdfighter']","inertia,inspirational,leaving,nerdfighter"
