author,quote,quote_words,quote_compound,quote_positive,quote_negative,tags,tags_words
J.K. Rowling,Rock bottom became the solid foundation on which I rebuilt my life.,Rock bottom became solid foundation rebuilt life,0.1531,0.211,0.0,"['adversity', 'failure', 'future', 'harvard-commencement-speech', 'hope', 'inspirational', 'life-lessons', 'rock-bottom']","adversity,failure,future,harvard-commencement-speech,hope,inspirational,life-lessons,rock-bottom"
Roy T. Bennett,Shine your light and make a positive impact on the world; there is nothing so honorable as helping improve the lives of others.,Shine light make positive impact world nothing honorable helping improve lives others,-0.3703,0.192,0.381,"['inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'light', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'shine', 'shine-your-light']","inspiration,inspirational,inspirational-quotes,inspire,inspiring,leader,leaders,leadership,life,life-quotes,light,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,shine,shine-your-light"
Stephen Chbosky,"And I thought that all those little kids are going to grow up someday. And all of those little kids are going to do the things that we do. And they will all kiss someone someday. But for now, sledding is enough. I think it would be great if sledding were always enough, but it isn't.",thought little kids going grow someday little kids going things kiss someone someday sledding enough think would great sledding always enough,0.7845,0.266,0.0,"['humor', 'inspirational']","humor,inspirational"
Bob Marley,Don't give up the fight,give fight,-0.3818,0.0,0.722,"['bob-marley', 'inspirational', 'strength']","bob-marley,inspirational,strength"
James  Dean,Only the gentle are ever really strong.,gentle ever really strong,0.7574,0.765,0.0,"['actor', 'inspirational', 'movies']","actor,inspirational,movies"
Anthony Robbins,"If you can't you must, and if you must you can.",can't must must,0.0,0.0,0.0,['inspirational'],inspirational
Audrey Niffenegger,"Chaos is more freedom; in fact, total freedom. But no meaning. I want to be free to act, and I also want my actions to mean something.",Chaos freedom fact total freedom meaning want free act also want actions mean something,0.8625,0.55,0.142,"['goals', 'inspirational']","goals,inspirational"
Ray Bradbury,First you jump off the cliff and build your wings on the way down.,First jump cliff build wings way,0.0,0.0,0.0,['inspirational'],inspirational
Joyce Meyer,One mistake does not have to rule a person's entire life.,One mistake rule person's entire life,-0.34,0.0,0.324,"['inspirational', 'mistakes', 'persistence']","inspirational,mistakes,persistence"
Sabaa Tahir,"So long as you fight the darkness, you stand in the light.",long fight darkness stand light,-0.5574,0.0,0.605,['inspirational'],inspirational
Trevor Noah,"I don’t regret anything I’ve ever done in life, any choice that I’ve made. But I’m consumed with regret for the things I didn’t do, the choices I didn’t make, the things I didn’t say. We spend so much time being afraid of failure, afraid of rejection. But regret is the thing we should fear most. Failure is an answer. Rejection is an answer. Regret is an eternal question you will never have the answer to. “What if…” “If only…” “I wonder what would have…” You will never, never know, and it will haunt you for the rest of your days.",don’t regret anything I’ve ever done life choice I’ve made I’m consumed regret things didn’t choices didn’t make things didn’t say spend much time afraid failure afraid rejection regret thing fear Failure answer Rejection answer Regret eternal question never answer “What if…” “If only…” “I wonder would have…” never never know haunt rest days,-0.9816,0.0,0.405,"['inspirational', 'life']","inspirational,life"
Leslye Walton,Children betrayed their parents by becoming their own people.,Children betrayed parents becoming people,-0.6124,0.0,0.5,"['family-relationships', 'inspirational']","family-relationships,inspirational"
Roy T. Bennett,"You were not born on earth to please anyone; you have to live life to express yourself, not to impress someone. Don't pretend to be someone you're not, and never lose yourself in search of other people's acceptance and approval.",born earth please anyone live life express impress someone pretend someone never lose search people's acceptance approval,0.9034,0.522,0.054,"['authentic-living', 'be-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","authentic-living,be-yourself,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quote,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-philosophy,life-quotes,living,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
Roy T. Bennett,Life teaches us the right path is rarely the easy one.,Life teaches us right path rarely easy one,-0.3412,0.0,0.256,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
Roy T. Bennett,Be with someone who inspires you and makes you be the best version of yourself.,someone inspires makes best version,0.7964,0.703,0.0,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'relationship']","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quote,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-philosophy,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,relationship"
Steve Maraboli,"This life is for loving, sharing, learning, smiling, caring, forgiving, laughing, hugging, helping, dancing, wondering, healing, and even more loving. I choose to live life this way. I want to live my life in such a way that when I get out of bed in the morning, the devil says, 'aw shit, he's up!",life loving sharing learning smiling caring forgiving laughing hugging helping dancing wondering healing even loving choose live life way want live life way get bed morning devil says 'aw shit he's,0.9595,0.52,0.142,"['caring', 'dancing', 'devil', 'forgiving', 'healing', 'helping', 'hugging', 'inspirational', 'laughing', 'learning', 'life', 'loving', 'loving-choices', 'motivational', 'sharing', 'smiling', 'wondering']","caring,dancing,devil,forgiving,healing,helping,hugging,inspirational,laughing,learning,life,loving,loving-choices,motivational,sharing,smiling,wondering"
Jiddu Krishnamurti,"It is truth that liberates, not your effort to be free.",truth liberates effort free,0.6808,0.737,0.0,"['inspirational', 'religion', 'truth']","inspirational,religion,truth"
John Milton,"Awake, arise or be for ever fall’n.",Awake arise ever fall’n,0.0,0.0,0.0,"['inspirational', 'lucifer', 'rebellion', 'revolt', 'satan']","inspirational,lucifer,rebellion,revolt,satan"
Brandon Sanderson,"If you give up what you want most for what you think you should want more, you'll end up miserable.",give want think want end miserable,-0.3818,0.295,0.364,"['inspirational', 'truth']","inspirational,truth"
John Lubbock,"Rest is not idleness, and to lie sometimes on the grass under trees on a summer's day, listening to the murmur of the water, or watching the clouds float across the sky, is by no means a waste of time.",Rest idleness lie sometimes grass trees summer's day listening murmur water watching clouds float across sky means waste time,-0.4215,0.0,0.135,"['beauty', 'clouds', 'grass', 'idleness', 'inspirational', 'nature', 'rest', 'science', 'sky', 'summer', 'time', 'trees', 'water']","beauty,clouds,grass,idleness,inspirational,nature,rest,science,sky,summer,time,trees,water"
Anne Bradstreet,"If we had no winter, the spring would not be so pleasant: if we did not sometimes taste of adversity, prosperity would not be so welcome.",winter spring would pleasant sometimes taste adversity prosperity would welcome,0.5423,0.391,0.174,"['adversity', 'appreciation', 'hardship', 'inspirational', 'life', 'prosperity', 'seasons', 'spring', 'winter']","adversity,appreciation,hardship,inspirational,life,prosperity,seasons,spring,winter"
Socrates,Employ your time in improving yourself by other men's writings so that you shall come easily by what others have labored hard for.,Employ time improving men's writings shall come easily others labored hard,0.5859,0.356,0.096,"['inspirational', 'reading', 'wisdom']","inspirational,reading,wisdom"
Max Lucado,"I choose gentleness... Nothing is won by force. I choose to be gentle. If I raise my voice may it be only in praise. If I clench my fist, may it be only in prayer. If I make a demand, may it be only of myself.",choose gentleness Nothing force choose gentle raise voice may praise clench fist may prayer make demand may,0.1764,0.167,0.182,"['christian', 'gentleness', 'inspirational']","christian,gentleness,inspirational"
Sarah J. Maas,"My name is Celaena Sardothien,"" she whispered, ""and I will not be afraid.","name Celaena Sardothien"" whispered ""and afraid",0.0,0.0,0.0,"['celaena-sardothien', 'empowerment', 'fantasy-young-adult', 'fierce', 'inspirational', 'motto', 'throne-of-glass']","celaena-sardothien,empowerment,fantasy-young-adult,fierce,inspirational,motto,throne-of-glass"
Eudora Welty,"Indeed, learning to write may be part of learning to read. For all I know, writing comes out of a superior devotion to reading.",Indeed learning write may part learning read know writing comes superior devotion reading,0.7579,0.371,0.0,"['devotion', 'inspirational', 'learning', 'reading', 'writing']","devotion,inspirational,learning,reading,writing"
Bob Ong,"Makakapili ka ng lugar na uupuan mo, pero hindi mo mapipili ang taong uupo sa puwang sa tabi mo... Ganyan ang senaryo sa bus. Ganyan din sa pag-ibig... Lalong 'di mo kontrolado kung kelan siya bababa.",Makakapili ka ng lugar na uupuan mo pero hindi mo mapipili ang taong uupo sa puwang sa tabi mo Ganyan ang senaryo sa bus Ganyan din sa pagibig Lalong 'di mo kontrolado kung kelan siya bababa,0.0,0.0,0.0,"['inspirational', 'love']","inspirational,love"
Terry Goodkind,"I am who I am; no more, no less.",less,0.0,0.0,0.0,"['inspirational', 'self-awareness', 'self-realization']","inspirational,self-awareness,self-realization"
T.S. Eliot,"Whatever you think, be sure it is what you think; whatever you want, be sure that is what you want; whatever you feel, be sure that is what you feel.",Whatever think sure think whatever want sure want whatever feel sure feel,0.7579,0.576,0.0,['inspirational'],inspirational
Roy T. Bennett,"Dream your own dreams, achieve your own goals. Your journey is your own and unique.",Dream dreams achieve goals journey unique,0.5719,0.54,0.0,"['dream', 'dreams', 'goals', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","dream,dreams,goals,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
Dee Henderson,"I love you, in my mind where my thoughts reside, in my heart where my emotions live, and in my soul where my dreams are born. I love you.",love mind thoughts reside heart emotions live soul dreams born love,0.9022,0.581,0.0,"['inspirational', 'love', 'romantic']","inspirational,love,romantic"
Shel Silverstein,Anything is possible. Anything can be.,Anything possible Anything,0.0,0.0,0.0,['inspirational'],inspirational
Eckhart Tolle,It is not uncommon for people to spend their whole life waiting to start living.,uncommon people spend whole life waiting start living,0.0,0.0,0.0,"['inspirational', 'spiritual']","inspirational,spiritual"
Fernando Pessoa,"The value of things is not the time they last, but the intensity with which they occur. That is why there are unforgettable moments and unique people!",value things time last intensity occur unforgettable moments unique people,0.34,0.211,0.0,['inspirational'],inspirational
Douglas Adams,"Life,” said Marvin dolefully, “loathe it or ignore it, you can’t like it.",Life” said Marvin dolefully “loathe ignore can’t like,0.0,0.227,0.227,['inspirational'],inspirational
Conrad Joseph,"Facing it, always facing it, that’s the way to get through. Face it.",Facing always facing that’s way get Face,0.0,0.0,0.0,"['adversity', 'adversity-quotes', 'coping', 'face-your-fears', 'face-your-problems', 'inspirational']","adversity,adversity-quotes,coping,face-your-fears,face-your-problems,inspirational"
Roy T. Bennett,Great Leaders Create More Leader,Great Leaders Create Leader,0.7351,0.756,0.0,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success', 'vision']","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leader,leadership,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,success,vision"
John Lennon,You don't need anybody to tell you who you are or what you are. You are what you are!,need anybody tell,0.0,0.0,0.0,"['be-yourself', 'inspirational', 'self-awareness', 'self-determination']","be-yourself,inspirational,self-awareness,self-determination"
James R. Sherman,"You can’t go back and make a new start, but you can start right now and make a brand new ending.",can’t go back make new start start right make brand new ending,0.0,0.0,0.0,"['inspirational', 'misattributed-dan-zadra']","inspirational,misattributed-dan-zadra"
Joshua Harris,The right thing at the wrong tme is the wrong thing.,right thing wrong tme wrong thing,-0.7351,0.0,0.608,"['inspirational', 'love', 'timing']","inspirational,love,timing"
Gerard Way,"no matter how ugly the world gets or how stupid it shows me it is, I always have faith",matter ugly world gets stupid shows always faith,-0.5859,0.267,0.459,['inspirational'],inspirational
Richard Bach,"Every person, all the events of your life are there because you have drawn them there. What you choose to do with them is up to you.",Every person events life drawn choose,0.0,0.0,0.0,['inspirational'],inspirational
Roy T. Bennett,"Difficulties and adversities viciously force all their might on us and cause us to fall apart, but they are necessary elements of individual growth and reveal our true potential. We have got to endure and overcome them, and move forward. Never lose hope. Storms make people stronger and never last forever.",Difficulties adversities viciously force might us cause us fall apart necessary elements individual growth reveal true potential got endure overcome move forward Never lose hope Storms make people stronger never last forever,0.2148,0.235,0.215,"['adversity', 'challenge', 'growth', 'hope', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'never-lose-hope', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'potential']","adversity,challenge,growth,hope,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,motivation,motivational,never-lose-hope,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,potential"
Roy T. Bennett,"Every choice comes with a consequence. Once you make a choice, you must accept responsibility. You cannot escape the consequences of your choices, whether you like them or not.",Every choice comes consequence make choice must accept responsibility cannot escape consequences choices whether like,0.5547,0.274,0.082,"['choices', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","choices,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
Roy T. Bennett,How much you can learn when you fail determines how far you will go into achieving your goals.,much learn fail determines far go achieving goals,-0.5423,0.0,0.333,"['failure', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']","failure,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,learning,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,success"
Roy T. Bennett,Push your boundaries beyond the ordinary; be that “extra” in “extraordinary.,Push boundaries beyond ordinary “extra” “extraordinary,0.0,0.0,0.0,"['growth', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'progress']","growth,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,progress"
Rainer Maria Rilke,"How should we be able to forget those ancient myths that are at the beginning of all peoples, the myths about dragons that at the last moment turn into princesses; perhaps all the dragons of our lives are princesses who are only waiting to see us once beautiful and brave. Perhaps everything terrible is in its deepest being something helpless that wants help from us",able forget ancient myths beginning peoples myths dragons last moment turn princesses perhaps dragons lives princesses waiting see us beautiful brave Perhaps everything terrible deepest something helpless wants help us,0.4588,0.238,0.19,"['attitude', 'change', 'courage', 'depression', 'dragons', 'fears', 'helplessness', 'inspirational', 'poetry', 'sadness', 'strength', 'transformation', 'weakness']","attitude,change,courage,depression,dragons,fears,helplessness,inspirational,poetry,sadness,strength,transformation,weakness"
Steve Maraboli,The universe doesn’t give you what you ask for with your thoughts - it gives you what you demand with your actions.,universe doesn’t give ask thoughts  gives demand actions,-0.128,0.0,0.176,"['actions', 'change', 'inspirational', 'intent', 'motivational', 'success', 'thoughts', 'universe']","actions,change,inspirational,intent,motivational,success,thoughts,universe"
Jim Rohn,"If you really want to do something, you'll find a way. If you don't, you'll find an excuse.",really want something find way find excuse,0.2247,0.367,0.0,['inspirational'],inspirational
Viktor E. Frankl,Happiness cannot be pursued; it must ensue.,Happiness cannot pursued must ensue,0.5574,0.474,0.0,"['inspirational', 'psychology']","inspirational,psychology"
Ben Carson,"Success is determined not by whether or not you face obstacles, but by your reaction to them. And if you look at these obstacles as a containing fence, they become your excuse for failure. If you look at them as a hurdle, each one strengthens you for the next.",Success determined whether face obstacles reaction look obstacles containing fence become excuse failure look hurdle one strengthens next,0.2263,0.348,0.284,"['ben-carson', 'failure', 'gifted-hands', 'hurdles', 'inspirational', 'obstacles', 'success']","ben-carson,failure,gifted-hands,hurdles,inspirational,obstacles,success"
Pittacus Lore,"No. Don't give up hope just yet. It's the last thing to go. When you have lost hope, you have lost everything. And when you think all is lost, when all is dire and bleak, there is always hope.",give hope yet last thing go lost hope lost everything think lost dire bleak always hope,-0.0516,0.315,0.359,"['faith', 'hope', 'inspirational', 'never-give-up']","faith,hope,inspirational,never-give-up"
Albert Einstein,The tragedy of life is what dies inside a man while he lives.,tragedy life dies inside man lives,-0.6597,0.0,0.468,"['inspirational', 'life']","inspirational,life"
Hafez,"Ever since happiness heard your name, it has been running through the streets trying to find you.",Ever since happiness heard name running streets trying find,0.5574,0.31,0.0,"['happiness', 'happy', 'inspirational']","happiness,happy,inspirational"
Charles Swindoll,Anything under God's control is never out of control.,Anything God's control never control,0.0,0.0,0.0,"['god', 'hope', 'inspirational', 'jesus', 'relationship']","god,hope,inspirational,jesus,relationship"
Oscar Wilde,A man who does not think for himself does not think at all.,man think think,0.0,0.0,0.0,"['inspirational', 'oscar-wilde']","inspirational,oscar-wilde"
Aristotle,"For the things we have to learn before we can do them, we learn by doing them.",things learn learn,0.0,0.0,0.0,"['doing', 'inspirational', 'learning', 'learning-by-doing', 'life', 'practice']","doing,inspirational,learning,learning-by-doing,life,practice"
Steve Maraboli,There is nothing more beautiful than seeing a person being themselves. Imagine going through your day being unapologetically you.,nothing beautiful seeing person Imagine going day unapologetically,-0.4847,0.0,0.31,"['authenticity', 'beautiful', 'being-yourself', 'inspirational']","authenticity,beautiful,being-yourself,inspirational"
Robert Frost,We dance round in a ring and suppose,dance round ring suppose,0.0,0.0,0.0,['inspirational'],inspirational
Chuck Palahniuk,Sticking feathers up your butt does not make you a chicken!,Sticking feathers butt make chicken,0.0,0.0,0.0,"['humor', 'inspirational', 'tyler-durden']","humor,inspirational,tyler-durden"
Daisaku Ikeda,it is impossible to build one's own happiness on the unhappiness of others. This perspective is at the heart of Buddhist teachings.,impossible build one's happiness unhappiness others perspective heart Buddhist teachings,0.0516,0.24,0.227,"['buddhism', 'destiny', 'happiness', 'humanism', 'inspirational', 'karma', 'peace', 'self-reformation']","buddhism,destiny,happiness,humanism,inspirational,karma,peace,self-reformation"
Peter S. Beagle,"When I was alive, I believed — as you do — that time was at least as real and solid as myself, and probably more so. I said 'one o'clock' as though I could see it, and 'Monday' as though I could find it on the map; and I let myself be hurried along from minute to minute, day to day, year to year, as though I were actually moving from one place to another. Like everyone else, I lived in a house bricked up with seconds and minutes, weekends and New Year's Days, and I never went outside until I died, because there was no other door. Now I know that I could have walked through the walls. (...) You can strike your own time, and start the count anywhere. When you understand that — then any time at all will be the right time for you.",alive believed — — time least real solid probably said 'one o'clock' though could see 'Monday' though could find map let hurried along minute minute day day year year though actually moving one place another Like everyone else lived house bricked seconds minutes weekends New Year's Days never went outside died door know could walked walls () strike time start count anywhere understand — time right time,0.7978,0.137,0.021,"['inspirational', 'reminding']","inspirational,reminding"
C. Joybell C.,"I have learned, that the person I have to ask for forgiveness from the most is: myself. You must love yourself. You have to forgive yourself, everyday, whenever you remember a shortcoming, a flaw, you have to tell yourself ""That's just fine"". You have to forgive yourself so much, until you don't even see those things anymore. Because that's what love is like.","learned person ask forgiveness must love forgive everyday whenever remember shortcoming flaw tell ""That's fine"" forgive much even see things anymore that's love like",0.9517,0.528,0.0,"['acceptance-of-oneself', 'forgive-yourself', 'forgiveness', 'inspirational', 'inspirational-life', 'inspirational-quotes', 'love']","acceptance-of-oneself,forgive-yourself,forgiveness,inspirational,inspirational-life,inspirational-quotes,love"
Bill Bullard,"Opinion is really the lowest form of human knowledge. It requires no accountability, no understanding. The highest form of knowledge… is empathy, for it requires us to suspend our egos and live in another’s world. It requires profound purpose larger than the self kind of understanding.",Opinion really lowest form human knowledge requires accountability understanding highest form knowledge… empathy requires us suspend egos live another’s world requires profound purpose larger self kind understanding,-0.2006,0.104,0.159,"['accountability', 'ego', 'empathy', 'inspirational', 'knowledge', 'opinion']","accountability,ego,empathy,inspirational,knowledge,opinion"
Taylor Swift,"If they don't like you for being yourself, be yourself even more.",like even,0.3612,0.714,0.0,"['bullying', 'inspirational']","bullying,inspirational"
Lemony Snicket,Deciding whether or not to trust a person is like deciding whether or not to climb a tree because you might get a wonderful view from the highest branch or you might simply get covered in sap and for this reason many people choose to spend their time alone and indoors where it is harder to get a splinter.,Deciding whether trust person like deciding whether climb tree might get wonderful view highest branch might simply get covered sap reason many people choose spend time alone indoors harder get splinter,0.8176,0.247,0.052,"['humor', 'inspirational', 'love', 'simile', 'tree', 'trust']","humor,inspirational,love,simile,tree,trust"
Nicholas Sparks,Jamie: You know what I figured out today,Jamie know figured today,0.0,0.0,0.0,"['death-and-dying', 'inspirational', 'life', 'miracle']","death-and-dying,inspirational,life,miracle"
E.E. Cummings,"a wind has blown the rain away & the sky away & all the leaves away, & the trees stand. i think i, too, have known autumn too long.",wind blown rain away & sky away & leaves away & trees stand think known autumn long,0.0,0.0,0.0,['inspirational'],inspirational
Lana Del Rey,Live fast. Die young. Be wild. Have fun.,Live fast Die young wild fun,-0.1531,0.295,0.348,"['attitude', 'inspirational', 'life']","attitude,inspirational,life"
David Nicholls,"You know what I can't understand? You have all these people telling you all the time how great you are, smart and funny and talented and all that, I mean endlessly, I've been telling you for years. So why don't you believe it? why do you think people say that stuff, Em? Do you think it's a conspiracy, people secretly ganging up to be nice about you?",know can't understand people telling time great smart funny talented mean endlessly I've telling years believe think people say stuff Em think conspiracy people secretly ganging nice,0.9081,0.393,0.085,"['humor', 'inspirational']","humor,inspirational"
Maggie Stiefvater,"Being Adam Parrish was a complicated thing, a wonder of muscles and organs, synapses and nerves. He was a miracle of moving parts, a study in survival. The most important thing to Adam Parrish, though, had always been free will, the ability to be his own master",Adam Parrish complicated thing wonder muscles organs synapses nerves miracle moving parts study survival important thing Adam Parrish though always free ability master,0.8689,0.366,0.046,"['inspirational', 'poetic', 'sweet']","inspirational,poetic,sweet"
Carl Jung,"I have frequently seen people become neurotic when they content themselves with inadequate or wrong answers to the questions of life. They seek position, marriage, reputation, outward success of money, and remain unhappy and neurotic even when they have attained what they were seeking. Such people are usually confined within too narrow a spiritual horizon. Their life has not sufficient content, sufficient meaning. If they are enabled to develop into more spacious personalities, the neurosis generally disappears.",frequently seen people become neurotic content inadequate wrong answers questions life seek position marriage reputation outward success money remain unhappy neurotic even attained seeking people usually confined within narrow spiritual horizon life sufficient content sufficient meaning enabled develop spacious personalities neurosis generally disappears,-0.8779,0.067,0.285,"['inspirational', 'psychology', 'spiritual']","inspirational,psychology,spiritual"
Leo Tolstoy,"Seize the moments of happiness, love and be loved! That is the only reality in the world, all else is folly. It is the one thing we are interested in here.",Seize moments happiness love loved reality world else folly one thing interested,0.9371,0.643,0.0,"['being-loved', 'happiness', 'inspirational', 'philosophy']","being-loved,happiness,inspirational,philosophy"
J.K. Rowling,"Call him Voldemort, Harry. Always use the proper name for things. Fear of a name increases fear of the thing itself.",Call Voldemort Harry Always use proper name things Fear name increases fear thing,-0.7506,0.0,0.368,"['inspirational', 'names']","inspirational,names"
Roy T. Bennett,"Change course, but don’t give up.",Change course don’t give,0.0,0.0,0.0,"['change', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","change,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leadership,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,never-give-up,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
Oliver James,Do your own thing on your own terms and get what you came here for,thing terms get came,0.0,0.0,0.0,"['be-yourself', 'inspirational', 'life', 'self-actualization', 'self-expression']","be-yourself,inspirational,life,self-actualization,self-expression"
Walt Whitman,Re-examine all you have been told. Dismiss what insults your soul.,Reexamine told Dismiss insults soul,-0.4215,0.0,0.412,"['dismiss', 'inspirational', 'soul', 'spirituality', 'wisdom']","dismiss,inspirational,soul,spirituality,wisdom"
Charlotte Bronte,"I try to avoid looking forward or backward, and try to keep looking upward.",try avoid looking forward backward try keep looking upward,-0.296,0.0,0.216,['inspirational'],inspirational
Zora Neale Hurston,Some people could look at a mud puddle and see an ocean with ships.,people could look mud puddle see ocean ships,0.0,0.0,0.0,"['classics', 'inspirational']","classics,inspirational"
Natsuki Takaya,"I wish I could've lived my life without making any wrong turns. But that's impossible. A path like that doesn't exist. We fail. We trip. We get lost. We make mistakes. And little by little, one step at a time, we push forward. It's all we can do. On our own two feet.",wish could've lived life without making wrong turns that's impossible path like exist fail trip get lost make mistakes little little one step time push forward two feet,-0.1396,0.204,0.218,['inspirational'],inspirational
Staness Jonekos,Don't marry a rich man. Marry a good man. He will spend his life trying to keep you happy. No rich man can buy that!,marry rich man Marry good man spend life trying keep happy rich man buy,0.93,0.58,0.0,"['inspirational', 'inspirational-love', 'love', 'women']","inspirational,inspirational-love,love,women"
Ralph Waldo Emerson,"There is a time in every man's education when he arrives at the conviction that envy is ignorance; that imitation is suicide; that he must take himself for better, for worse, as his portion; that though the wide universe is full of good, no kernel of nourishing corn can come to him but through his toil bestowed on that plot of ground which is given to him to till. The power which resides in him is new in nature, and none but he knows what that is which he can do, nor does he know until he has tried.",time every man's education arrives conviction envy ignorance imitation suicide must take better worse portion though wide universe full good kernel nourishing corn come toil bestowed plot ground given till power resides new nature none knows know tried,-0.7506,0.116,0.244,['inspirational'],inspirational
John Lubbock,"What we do see depends mainly on what we look for. ... In the same field the farmer will notice the crop, the geologists the fossils, botanists the flowers, artists the colouring, sportmen the cover for the game. Though we may all look at the same things, it does not all follow that we should see them.",see depends mainly look  field farmer notice crop geologists fossils botanists flowers artists colouring sportmen cover game Though may look things follow see,0.0,0.0,0.0,"['artists', 'botanists', 'farmer', 'flowers', 'fossils', 'game', 'geologists', 'inspirational', 'perspective', 'seeing', 'sight', 'sportsmen']","artists,botanists,farmer,flowers,fossils,game,geologists,inspirational,perspective,seeing,sight,sportsmen"
